Accelerometer [X]	Accelerometer [Y]	Accelerometer [Z]
9.6	1.03	1.28
9.66	0.99	0.98
9.67	0.81	1.3
9.62	1.15	0.98
9.6	0.88	1.27
9.57	0.9	0.91
9.68	1.1	1.26
9.65	0.65	1.26
9.63	1.35	0.7
9.64	0.35	1.4
9.64	1.4	1.14
9.62	0.52	1.19
9.59	1.43	1.21
9.64	0.74	1.14
9.62	1.02	1.26
9.58	0.99	0.96
9.59	0.78	1.44
9.64	1.16	1.19
9.64	0.88	1.23
9.62	0.85	1.03
9.58	2.24	1.32
9.62	1.14	0.99
9.73	0.73	1.18
9.56	1.06	1.08
9.64	0.51	1.66
9.72	1.35	1.02
9.61	0.92	1.07
9.58	1.91	1.65
9.63	1.32	1.28
9.62	0.97	1.34
9.78	0.72	1.04
9.62	1.08	1.21
9.6	0.89	0.99
9.58	1.15	1.53
9.59	0.73	1.17
9.59	1.23	1.61
9.65	1.07	0.78
9.62	0.71	0.88
9.58	1.59	2.16
9.74	0.84	0.81
9.68	0.88	0.63
9.68	1.08	1.64
9.7	1.35	0.47
9.63	0.7	1.2
9.58	1.11	0.7
9.67	0.63	1.07
9.63	1.14	0.4
9.59	1.33	1.98
9.62	1.09	0.76
9.62	1.24	1.42
9.67	0.71	1.03
9.67	0.8	0.46
9.65	1.33	1.6
9.66	0.61	1.04
9.65	1.52	1.16
9.67	0.62	0.7
9.65	1.59	1.75
9.63	0.62	0.74
9.62	1.27	1.58
9.63	0.56	0.84
9.58	1.36	1.61
9.63	0.7	0.89
9.61	1.53	1.23
9.64	0.57	1.11
9.56	1.06	1.61
9.63	0.98	0.94
9.61	1.24	1.12
9.68	0.62	1.04
9.65	1.46	1.14
9.66	0.73	1.13
9.62	1.2	1.45
9.63	1.09	0.94
9.63	0.96	1.53
9.61	1.15	0.77
9.67	0.92	0.81
9.7	1.77	0.77
9.69	0.59	1.41
9.68	0.94	-0.05
9.6	0.99	1.72
9.61	0.85	0.75
9.69	1.01	0.04
9.65	0.69	0.96
9.71	1.23	1.35
9.63	0.8	0.92
9.66	1.25	1.52
9.62	1.1	0.5
9.63	1.31	1.58
9.69	0.82	0.88
9.7	1.18	1.13
9.62	0.52	0.76
9.65	1.22	1.45
9.6	0.59	0.71
9.65	1.3	1.37
9.58	0.99	1.03
9.62	1.11	1.43
9.64	0.86	1.23
9.61	1.03	1.13
9.62	1.06	1.19
9.57	1.13	1.06
9.64	1.1	1.08
9.62	0.9	0.99
9.68	1	1.51
9.65	1.11	0.67
9.69	0.74	1.42
9.61	1.15	0.75
9.61	0.78	1.33
9.55	0.92	0.97
9.63	1.03	0.89
9.64	1.06	1.38
9.77	0.91	0.93
9.51	0.78	1.43
9.64	1.25	0.9
9.62	0.92	1.39
9.6	0.89	1.01
9.64	1.02	1.13
9.68	1.2	0.83
9.61	0.82	1.32
9.68	1.13	1.09
9.67	1.02	1.13
9.62	0.76	1.23
9.68	1.09	0.95
9.66	0.71	1.55
9.61	1.16	0.72
9.58	1.16	1.26
9.65	1.13	0.93
9.64	0.99	0.97
9.67	0.99	0.46
9.77	0.79	1.25
9.7	1.59	0.48
9.67	0.35	0.51
9.86	1.46	1.74
9.59	0.78	0.87
9.67	0.86	0.78
9.68	1.48	1.26
9.67	0.29	0.94
9.64	1.24	0.9
9.65	1.12	1.09
9.71	0.8	0.5
9.7	1.13	0.75
9.63	1.01	1.61
9.63	1.12	0.6
9.62	0.45	0.69
9.63	1.24	1.02
9.61	1	0.94
9.67	1	0.82
9.63	1.15	1.49
9.57	1.1	0.96
9.67	1.19	0.92
9.63	1.09	1.21
9.67	1.12	1.25
9.67	0.92	1.1
9.68	1	0.94
9.61	1.01	1.38
9.65	0.91	1.11
9.6	1.24	1.33
9.61	1.12	1.2
9.6	1.07	1.15
9.53	1.16	1.45
9.69	0.75	1.11
9.67	0.71	1.14
9.65	1	1.2
9.56	1.02	1.13
9.64	0.97	1.41
9.7	0.49	1.25
9.6	1.25	1.52
9.67	1.27	1.11
9.53	1.1	1.13
9.63	0.66	1.44
9.62	0.95	1.28
9.61	0.95	1.07
9.64	1.11	1.03
9.62	0.97	1.52
9.65	1.1	1.1
9.61	1.01	1.15
9.64	0.92	1.48
9.63	1.15	1.22
9.61	0.89	1.14
9.54	1.29	1.44
9.59	0.76	1.28
9.61	1.18	1.23
9.6	0.89	1.47
9.59	0.84	1.45
9.61	0.95	1.32
9.58	1.03	1.43
9.63	0.97	1.28
9.54	0.99	1.47
9.64	0.91	1.34
9.64	1.03	1.19
9.59	1.1	1.53
9.59	0.62	1.08
9.61	1.02	1.54
9.61	0.67	1.38
9.72	1.37	1.27
9.61	0.44	1.34
9.56	1.09	1.36
9.65	0.69	1.64
9.73	1.42	1.12
9.52	1.09	1.6
9.64	1.33	1.41
9.57	0.42	1.45
9.55	0.95	1.49
9.61	1.45	1.37
9.59	0.38	1.06
9.55	1	1.63
9.61	1.31	1.26
9.51	-0.35	1.55
9.54	1.2	1.5
9.61	0.17	1.02
9.61	1.9	1.37
9.62	0.46	0.98
9.61	1.74	1.31
9.59	0.45	1.15
9.6	1.23	1.38
9.66	1.09	0.83
9.6	0.82	1.53
9.6	1.32	0.81
9.62	0.91	1.57
9.66	1.2	0.87
9.6	1.16	1.59
9.6	0.95	1.05
9.6	1.36	1.39
9.61	0.99	1.12
9.66	1.27	1.39
9.62	1.02	1.13
9.62	1.2	1.44
9.58	1.05	1.1
9.65	0.93	1.45
9.62	0.95	1.15
9.62	1.01	1.39
9.65	1.06	1.25
9.63	1.21	1.16
9.63	1.02	1.33
9.64	0.97	1.03
9.61	1.16	1.54
9.62	0.94	1.27
9.65	1.25	1.38
9.57	0.93	1.18
9.63	1.02	1.32
9.59	0.97	1.38
9.58	1.21	1.21
9.61	0.9	1.51
9.62	0.99	1.29
9.6	1.13	1.41
9.61	0.86	1.27
9.61	1.02	1.61
9.61	1.1	1.3
9.59	0.99	1.51
9.56	0.91	1.39
9.64	1.15	1.35
9.6	0.89	1.15
9.58	1.13	1.52
9.64	1	1.22
9.56	0.95	1.63
9.62	1.06	1.01
9.61	0.94	1.58
9.58	1.05	1.15
9.58	0.71	1.59
9.68	1.07	0.72
9.62	0.86	0.98
9.65	1.19	1.15
9.62	0.74	1.3
9.62	1.3	1.11
9.58	0.82	1.6
9.62	1.28	0.94
9.58	0.93	1.5
9.64	0.92	0.97
9.61	1.06	1.32
9.61	0.73	1.43
9.61	1.1	1.19
9.65	0.88	1.19
9.54	1.01	1.56
9.59	0.84	1.45
9.65	1.36	0.92
9.57	0.65	1.61
9.63	0.88	0.6
9.7	0.77	0.93
9.71	1.09	0.88
9.7	0.95	0.81
9.63	0.72	0.8
9.63	0.76	0.84
9.72	0.76	0.44
9.57	0.76	2.02
9.56	0.98	0.9
9.61	0.81	1.41
9.6	0.75	0.92
9.79	0.86	0.72
9.8	1.09	0.74
9.59	1.14	0.89
9.74	0.48	1.08
9.59	0.77	1.35
10.09	0.02	1.11
9.35	1	1.73
9.87	0.54	0.49
9.76	1.41	1.33
9.89	1.01	0.53
9.61	0.39	0.37
9.95	-0.7	1.8
9.42	0.93	-0.64
9.69	0.38	2.04
9.78	0.39	0.55
9.5	1.54	1.97
9.64	0.66	0.49
9.61	1.16	2.03
9.58	0.71	0.76
9.56	1.06	1.73
9.62	0.86	0.73
9.61	0.87	1.8
9.63	0.97	0.78
9.55	1	1.72
9.64	0.73	0.82
9.62	1.23	1.67
9.61	0.58	0.87
9.62	1.38	1.34
9.64	0.67	0.76
9.61	1.23	1.18
9.56	1.06	1.09
9.6	1.06	1.12
9.73	1.21	0.91
9.62	1.13	1.19
9.67	1.22	0.74
9.63	0.88	1.47
9.66	1.26	0.89
9.59	1.07	1.35
9.69	0.99	1.53
9.65	1.08	0.77
9.65	1.07	1.64
9.62	0.86	0.82
9.67	1.07	1.15
9.69	1.01	0.84
9.64	0.91	1.65
9.66	1.37	0.78
9.66	1.11	1.12
9.65	0.96	0.98
9.66	1.25	1.35
9.71	0.33	0.6
9.63	1.28	1.32
9.65	0.8	0.55
9.62	1.17	1.52
9.65	0.97	0.77
9.61	1.09	1.51
9.68	1.1	0.81
9.61	1.07	1.29
9.66	0.74	0.86
9.65	1.06	1.19
9.65	0.76	1.07
9.63	1.33	1.26
9.61	0.93	1.34
9.6	0.82	1.36
9.65	1.29	1.15
9.6	0.67	1.04
9.64	1.28	1.47
9.66	0.99	0.75
9.63	0.82	1.35
9.65	1.19	0.9
9.66	0.82	1.13
9.66	1.01	0.99
9.71	1.11	0.97
9.67	0.85	0.99
9.61	1.09	1.32
9.65	1.2	0.84
9.68	1.04	1.42
9.66	0.78	1.12
9.58	1.11	1.24
9.63	0.63	1.16
9.65	1.25	1.03
9.6	0.9	1.26
9.67	1.15	1.13
9.66	1.08	1.34
9.63	0.85	1
9.63	1.25	1.22
9.62	0.58	1.17
9.63	1.26	1.37
9.59	0.91	1.15
9.63	1.07	1.55
9.63	0.95	1.45
9.63	1.02	1.05
9.6	1.09	1.65
9.63	0.93	1.14
9.65	1.04	1.6
9.66	1.09	0.91
9.64	1.14	1.5
9.62	0.78	0.93
9.63	1.33	1.24
9.65	0.88	1.06
9.64	1.23	1.05
9.65	0.77	1.53
9.65	1.02	0.99
9.64	0.6	1.04
9.64	1.39	1.18
9.62	0.63	1.02
9.56	0.91	1.37
9.65	1.13	0.94
9.62	0.92	1.42
9.6	1.15	1.12
9.66	1.12	1.11
9.62	0.86	0.97
9.66	0.99	1.3
9.61	0.87	1.37
9.62	1.36	1.37
9.67	1.08	0.88
9.64	1.27	1.39
9.61	0.67	1.02
9.66	1.34	1.3
9.6	1	0.88
9.65	0.67	1.47
9.66	1.25	0.81
9.71	0.9	1.37
9.64	0.98	0.7
9.62	0.5	1.45
9.61	0.81	1.18
9.62	1.45	0.67
9.58	0.52	1.6
9.64	0.76	0.8
9.7	1.33	1.04
9.59	0.73	1.13
9.67	1.47	0.77
9.68	0.87	0.56
9.62	0.99	1.39
9.6	1.59	0.69
9.76	0.3	0.34
9.66	1.57	0.82
9.64	1.11	1.28
9.6	0.75	0.9
9.61	1.1	1.49
9.66	0.84	0.68
9.66	1.61	1.21
9.67	0.78	0.78
9.69	1.28	0.64
9.62	0.6	0.62
9.6	1.21	1.82
9.68	0.74	0.32
9.57	1.58	2.26
9.69	0.68	0.98
9.67	1.02	0.64
9.64	0.98	1.06
9.64	1.09	1.36
9.63	0.94	1.09
9.64	1.23	1.04
9.68	0.95	0.73
9.62	0.9	1.73
9.67	0.99	0.46
9.64	0.33	0.53
9.44	1.27	1.2
9.62	0.95	1.19
9.65	0.99	0.75
9.57	1.41	1.71
9.6	0.66	0.82
9.6	1.2	1.6
9.61	0.8	0.92
9.63	1.14	1.51
9.63	0.91	1.09
9.59	0.94	1.51
9.64	1.01	0.97
9.57	0.9	1.48
9.62	1.07	1.07
9.65	0.94	1.3
9.64	0.98	1.07
9.56	0.77	1.04
9.61	0.64	1.27
9.63	1.09	0.52
9.6	0.85	1.49
9.62	0.88	0.83
9.63	1.02	1.49
9.62	0.81	1.34
9.63	1.29	1.08
9.66	1.14	1.36
9.61	0.95	1.41
9.64	1.02	1.04
9.62	1.06	1.35
9.64	0.95	1.26
9.64	0.95	1.13
9.64	1.2	1.24
9.66	0.98	1.03
9.64	0.82	1.44
9.62	1.14	0.97
9.58	0.87	1.63
9.64	0.99	0.89
9.55	0.94	1.58
9.62	1.01	1.16
9.59	0.93	1.31
9.66	1	1.14
9.62	1.19	1.44
9.68	1.18	1.08
9.64	0.9	1.51
9.63	1.03	1.07
9.62	1.12	1.45
9.6	0.88	1.31
9.62	1.22	1.27
9.6	0.82	1.29
9.61	1.17	1.43
9.58	1.03	1.17
9.62	0.83	1.19
9.62	1.03	1.16
9.62	0.91	1.26
9.61	0.94	1.43
9.62	1	1.42
9.59	0.88	1.21
9.61	0.96	1.46
9.61	0.97	1.17
9.6	0.93	1.51
9.62	0.96	1.09
9.62	1.15	1.59
9.6	1.05	1.15
9.62	1.05	1.53
9.62	1.22	1.26
9.6	0.92	1.6
9.63	1.08	1.24
9.58	0.77	1.63
9.61	1.08	0.96
9.61	0.77	1.58
9.63	0.82	1.15
9.61	1.17	1.36
9.59	0.71	1.47
9.6	1.1	1.42
9.61	0.91	1.47
9.58	0.83	1.39
9.62	1.1	1.47
