Euler [X]	Euler [Y]	Euler [Z]
1.25	81.19	-44.81
1.37	81	-38.44
1.88	81.56	-45.19
2	81.44	-43
2.06	81.44	-42.13
3.38	81.56	-46.81
2.31	81.44	-44.19
2.19	81.44	-43.06
3.94	81.37	-46.13
1.25	81.56	-36.88
3.5	80.69	-45.25
1.88	81.5	-39.75
3.25	80.56	-43.56
2.44	81.31	-40.19
3.44	81	-44.5
3.25	81.19	-40.5
2.94	81.06	-40.75
3.38	80.94	-41
3.19	81.06	-39.5
4.06	81.12	-43.25
3.63	81.12	-39
3.56	81.56	-38.75
3.56	81.62	-39
3.81	81.87	-41.31
5.31	81.31	-41.44
5.69	81.19	-41.63
4.94	81.06	-42.25
5.13	81	-42.69
5.13	81.19	-45.13
5.94	81.12	-45.25
6.88	81.31	-45.56
6.44	81.06	-44.63
6.81	80.87	-43.81
6.44	81.31	-41.81
6.75	81.12	-42.31
6.81	80.94	-41.5
8.88	81.31	-45.19
8.19	82.06	-48
6.88	80.31	-39.19
9.44	81.19	-47.69
8.88	83.5	-5.25
8.44	82.19	-49.25
10.19	81.62	-49.31
8.5	82	-44.88
10.56	81.19	-46.75
9.5	82.5	-48.63
10.19	82.5	-53.06
8.19	80.87	-41.13
10.5	80.37	-44.81
9.5	80.75	-44.88
10.5	79.69	-42.25
11.19	81.5	-49.69
9.63	80.5	-41.63
10.13	81.19	-43.31
10.31	80.81	-45
9.56	81.37	-40.75
9.75	81.06	-42.75
9.94	81.62	-42.31
9.81	81	-41
10.13	81	-41.31
10.25	80.62	-41
10.13	81	-40.69
10.75	80.5	-41.63
10.13	81.44	-40.25
10.88	80.25	-41.31
10.88	81.25	-41.63
11.75	80.75	-42.31
11.38	81.5	-42.81
12.13	80.75	-43.81
11.25	81.5	-40.25
11.88	80.75	-42.88
11.94	81.37	-40.38
12.81	80.69	-42.88
13.5	82.37	-47.94
13.81	80.5	-44
15.69	81.12	-50.56
13.19	82.56	-44.31
15.25	83.75	-5.5
13.13	82.37	-51.5
15.94	80.94	-49.44
17	83.12	-5.56
16.62	83.12	-53.69
17.31	81.62	-48.75
15.19	81.94	-47.25
14.88	81.25	-44.81
15.38	82.12	-47.88
15.06	80.5	-41.06
15.5	81.94	-45.88
15.88	81.37	-43.19
16.06	82.06	-45.31
16.25	81.44	-47.06
15.44	81.81	-43.38
15.63	80.94	-43.19
15.75	81.12	-42
15.38	80.87	-40.75
15.31	81.06	-38.69
15.88	81.25	-40.88
16	81.31	-40.81
16.19	81.56	-42.13
16.12	81.19	-40
16.62	81.62	-41.88
16.94	81.31	-44.44
19.06	81.94	-45.5
16.69	81.69	-43.19
17.62	81.5	-45.31
16.75	81.31	-39.44
17.75	81.44	-44.69
17.87	81.69	-44.31
17.81	81.5	-43.44
19.5	81.81	-45.69
17.81	81.69	-42.13
18.62	81.56	-45.13
17.37	81.69	-40
18.69	81	-41.94
18.56	81.44	-43.56
19.31	80.75	-42.75
18.81	81.31	-41.75
19.62	80.81	-44
19	81.25	-41.88
19.25	81.12	-41.88
21.12	81.31	-44.56
19.62	81.31	-42.81
22.06	81.37	-45.69
20.06	81.37	-46.25
21.56	80.69	-43.19
22.94	81.94	-50.19
22.31	83.5	-5.06
21.31	82.25	-48.31
23.19	80.56	-41.06
21.87	82.87	-44
20.31	82.06	-43.38
21.69	80.12	-36
23.69	82.25	-47.56
23.19	81.06	-48.31
24.56	82.25	-48.44
25.44	81.81	-53.13
25.31	82	-49.06
25.75	82.81	-53.56
25.94	83.12	-5.31
25.31	81.12	-46.75
27.37	81.94	-49.31
26.75	83.19	-5.13
27.25	82.31	-50.75
25.37	81.44	-47.06
27.06	82	-49.88
25.56	81.25	-47.19
25.75	81.5	-48.31
25.81	81.56	-48.25
25.62	81.5	-47.63
25.31	81.31	-46.19
25.06	81.37	-44.5
25.37	81	-44.13
24.69	81.12	-42.5
24.75	80.87	-41.5
24.69	80.75	-41.31
24.19	80.94	-38.5
24.37	81.12	-39.81
24.62	80.81	-39.13
24.75	81.06	-40.13
25	80.87	-40.19
25.37	80.94	-41.69
25.25	81	-41
24.94	81.19	-39.69
24	81.44	-38.31
24.25	80.69	-37.94
25.06	80.69	-41.75
24.81	80.94	-40.56
24.31	80.56	-35.13
25.81	80.25	-41.13
25.81	80.31	-40.88
26.12	80.19	-41.13
25.75	80.19	-39
26.12	80.37	-40.31
26	80.81	-39
26.06	80.69	-39.81
26.44	80.75	-39.38
26.25	80.94	-39.56
26.69	80.5	-40.13
26.19	81	-38.75
26.81	80.31	-38.19
26.37	80.75	-37.13
26.75	80.37	-37.69
26.81	80.62	-37.69
27.06	80.44	-37.75
27.06	80.75	-38.44
27.37	80.25	-36.94
27.62	81.06	-40.44
28	80.44	-38.44
28.06	80.44	-38.94
27.81	80.69	-38.81
27.69	80.12	-37.38
27.69	80.37	-36.13
28.19	80.25	-38.13
27.94	80.56	-35.88
28.19	80.5	-37.44
27.37	80.5	-31.19
27.44	81.12	-31.62
27.19	81.06	-28.56
27.69	81	-31.25
27.25	81.25	-28.44
26.75	81.31	-30.37
28.31	80.94	-34.63
27.87	81.37	-34.06
28.25	80.56	-36.81
28.75	80.62	-35.31
28.06	80.69	-32.94
29.5	79.94	-39.81
28.94	81.06	-32.63
32.81	79.37	-45.06
31	81.75	-45.13
31.94	79.75	-43
29.87	81.19	-35.19
31.56	80.06	-41.56
31.62	81.12	-41.56
31.31	80.19	-40.13
32.44	80.75	-42.63
31.56	80.12	-38.94
33.06	80.69	-44
31.94	80.25	-39.94
32.63	80.62	-42.31
32.94	80.19	-42.94
32.69	80.62	-42.19
33	80.25	-42.56
32.88	80.69	-42.38
32.94	80.31	-42
33	80.69	-41.81
32.88	80.37	-40.75
33.19	80.56	-41.69
33.19	80.37	-40.44
33.44	80.62	-41.31
33.63	80.37	-41.25
33.63	80.44	-41
34.44	80.56	-42.56
34.06	80.62	-42.13
34.06	80.56	-41.44
34.19	80.44	-41.38
34	80.56	-40.63
34.06	80.31	-39.75
34.06	80.37	-39.63
34.5	80.25	-39.38
34.06	80.5	-38.13
34.56	80.25	-39.19
34.44	80.5	-38.94
34.44	80.37	-37.44
34.44	80.25	-37
34.75	80.37	-37.44
34.75	80.25	-36.75
35.06	80.37	-38.19
35.25	80.31	-37.88
35.31	80.44	-38
35.13	80.31	-37.06
35.44	80.31	-36.81
35.25	80.19	-35.94
35.94	80.69	-37.31
35.56	80.44	-36.56
36	80.5	-37.06
35.63	80.56	-33.81
39.06	81.06	-44.69
38.31	81.25	-45
38.38	80.56	-40.63
38	80.62	-40.56
38.44	80.31	-41.06
37.25	80.62	-38.13
38.63	80.37	-41.5
37.56	80.69	-37.63
38.63	80.19	-40.13
38.63	80.56	-40.25
38.19	80.31	-39.06
38.69	80.5	-38.06
39.25	80.75	-41.19
39.75	80.44	-41.75
38.88	81	-40.38
40	80.44	-41.75
38.69	80.81	-37
41.25	81.12	-43.06
41.06	81.87	-45.88
41.25	82.12	-46.31
41.44	82.69	-47.81
41.13	82.87	-47.69
41.31	82.87	-46.75
41.19	83.37	-4.75
40.44	80.19	-35.94
41	81.19	-39.31
40.38	80.94	-35.5
41.75	81.75	-39.69
41.25	82.62	-34.5
43.56	82.75	-37.5
42.88	83.06	-38.81
41.56	82.12	-32.69
42.5	82.44	-35.5
44	83.06	-32.69
42.5	83.25	-4.25
43.31	84.56	-4
43.13	84.37	-4.25
42.63	84.75	-4.19
45.94	84.19	-4.25
42.69	84.75	-3.63
45.31	84.5	-4.69
42.81	84.69	-4
42.19	84.44	-4.06
44.5	77.5	-37.63
42.5	83.31	-4.38
42.88	80.12	-37.75
43.25	82.06	-41.69
43.13	79.62	-35.06
43.69	81.62	-39.75
43.06	80	-33.25
44.25	81.37	-41.69
43.06	79.56	-31.31
43.88	81.12	-36.06
43.94	80.06	-35.31
44.19	81.31	-37.44
45.44	80.25	-40.25
45.25	81.62	-41.63
46.13	80.37	-42.31
45.75	81.31	-42.25
46.44	80.81	-42.06
46.06	81.56	-45.56
46.25	80.75	-41.69
47.06	81.44	-45.94
46.5	80.94	-42.81
47.31	81.19	-44.06
46.63	81.12	-42.94
46.44	80.81	-40.69
47.31	81.25	-45.38
46.25	80.31	-36.06
47.81	81.31	-43.38
48.69	80.87	-43.13
49.19	81.87	-49.56
47.5	79.94	-39.56
49.63	81	-44.44
50.81	81.06	-47
50.75	81.5	-47.94
49.75	80.94	-45.13
50.44	81.62	-45.94
49.69	81.06	-47.5
50.13	81.69	-43.94
49.06	81.06	-43.94
50.69	81.06	-42.75
50.19	81.37	-44.88
51.5	81.37	-46.5
49.81	81.69	-42.44
50.19	81.56	-43.94
50.06	81.5	-42.06
49.69	81.75	-41.75
49.75	81.19	-40.5
49.38	81.37	-39.56
49.44	80.94	-38
51	81	-42.94
50.31	81.69	-39.75
50.75	80.87	-42.69
51.69	81.25	-42.88
51.13	81.25	-43.13
52.69	81.19	-43.63
51.94	81.44	-43.25
52.56	81.12	-44.88
52.44	81.37	-43.38
52.25	81.37	-44.69
51.44	80.81	-37.56
