Gyroscope [X]	Gyroscope [Y]	Gyroscope [Z]
0.06	0.03	0.02
-0.09	-0.06	-0.03
0.09	0.02	0.01
0.01	-0.01	-0.01
0	-0.02	-0.02
0.06	0	0.02
-0.03	0	-0.03
-0.04	-0.01	0.02
-0.02	-0.02	-0.01
0.09	0	0
0.12	-0.01	0.02
-0.05	0.02	0
0	-0.02	0.01
0.02	-0.01	-0.01
0.09	0.03	0.03
0.02	-0.03	-0.02
0	0	0.01
-0.01	-0.01	0.02
-0.03	-0.01	-0.03
-0.03	0.01	0.04
0.01	-0.02	0.01
-0.04	-0.02	0.01
0.05	-0.01	-0.02
-0.04	-0.03	0.01
-0.23	-0.03	0
0.05	0	0
0	0.03	-0.03
-0.05	-0.01	0.01
-0.08	-0.04	0
-0.09	-0.01	0.01
0.07	-0.01	0
-0.01	0.01	-0.01
-0.02	-0.03	0.05
-0.03	0.01	-0.04
-0.02	-0.02	0.04
-0.01	-0.01	-0.03
-0.14	-0.06	-0.03
-0.01	0.05	0.04
-0.04	0.02	-0.04
0.07	-0.05	0.03
0	0.04	-0.02
0.09	0.06	-0.02
0.02	-0.02	0
0.06	0.01	-0.01
-0.04	-0.06	0.02
0.04	-0.03	0
0.02	0.02	0
0.09	0.03	-0.05
0.06	-0.05	0.05
0.04	0.06	-0.06
-0.14	-0.1	0.02
0.03	0	0.03
0.01	-0.01	-0.02
-0.04	0	0.02
0.08	0.01	0
-0.1	-0.03	0.01
-0.06	0	-0.03
-0.03	-0.03	0.02
0.03	0.01	-0.03
0.01	-0.02	0.02
0	0.01	-0.03
0.01	0	0.01
-0.03	-0.02	-0.02
-0.01	0.01	-0.01
0.01	0	0.02
0.02	0	0
-0.06	-0.04	-0.02
0.1	0.01	0.01
-0.04	-0.02	0
-0.03	0	-0.02
-0.05	0	0.03
-0.02	-0.03	-0.05
-0.03	-0.05	0.02
0	0.04	-0.04
-0.11	-0.05	0.04
-0.01	-0.04	0
0	-0.02	-0.01
-0.01	0.03	0
0.32	0.11	-0.05
0.02	-0.06	0.04
-0.29	-0.04	-0.01
0.07	0.02	0
0.07	0.03	0.01
0.05	0	-0.01
0.02	0	0
-0.01	0.01	0.01
-0.05	-0.03	-0.01
0.01	0.01	0.02
-0.02	-0.04	0
-0.07	-0.02	-0.02
0.03	0.02	0
-0.06	0	0.01
0.07	0.01	-0.01
-0.03	0	0.01
0	0	0.01
-0.02	-0.03	0
-0.01	0	0
-0.02	-0.02	0.01
-0.06	0.01	-0.02
0.04	-0.01	-0.01
-0.06	-0.01	-0.03
-0.04	0.01	0.02
0.02	-0.02	-0.01
-0.04	0.03	0
-0.04	0.01	0.01
-0.04	-0.02	-0.02
0.01	-0.01	0.01
-0.04	0	0.01
-0.05	-0.01	-0.01
-0.19	0.02	0.04
-0.09	0	-0.01
0.05	-0.02	0.02
0.06	0.01	-0.03
0.01	-0.04	0.01
-0.06	0.03	-0.02
-0.06	-0.05	0.01
0	0.01	-0.02
-0.03	-0.02	0.02
0.02	-0.01	-0.03
-0.02	-0.02	0.01
-0.17	0	0
-0.01	0.01	0
-0.02	-0.04	-0.01
0.02	0.04	-0.02
-0.29	-0.08	-0.01
0.05	-0.01	0.04
0.03	0.01	-0.04
0.37	0.08	0
-0.12	-0.1	-0.01
0.06	-0.01	0.04
-0.24	0.21	-0.04
-0.14	-0.16	0
-0.09	0.02	-0.03
-0.14	-0.01	-0.01
-0.1	-0.01	-0.02
0.16	0.01	0.03
-0.29	-0.02	-0.01
0.01	-0.03	0.04
-0.07	0.03	-0.05
0.25	-0.02	0.05
0	-0.03	0.01
-0.03	0.01	0
0.08	0.06	-0.01
-0.05	-0.08	0.03
0.03	0	-0.01
-0.07	0.01	-0.01
-0.03	0	-0.01
0.05	-0.03	0
-0.01	0.01	0.01
0.04	0.01	0
0.02	0.01	0
0.04	-0.02	0.01
-0.02	0.02	-0.01
0.02	0	-0.01
0.04	0	0
-0.01	-0.03	0
0.04	0	0
-0.01	-0.01	0
0.06	0.01	0
0.01	-0.02	0
0.02	-0.01	0.01
-0.08	-0.02	0
-0.05	-0.01	0.01
-0.08	0.02	0
-0.08	-0.01	0.02
0.05	0	0.02
0.05	0.02	0.01
-0.01	-0.03	-0.03
-0.01	-0.01	0.01
-0.01	0	0
-0.01	-0.02	0.01
-0.02	-0.01	0
0	-0.01	0.01
-0.01	-0.02	-0.02
0.05	0	0.02
-0.01	-0.02	-0.01
0.02	0.01	0.01
-0.02	-0.02	-0.02
0	0.02	0.02
-0.02	-0.03	0.01
-0.01	0	-0.02
0	-0.01	0.01
0	-0.01	-0.01
0	-0.03	0.02
0.03	0.02	0
-0.03	-0.04	-0.01
0.02	0.02	-0.01
-0.05	-0.03	0
-0.02	-0.01	0.01
0.03	0.02	-0.01
-0.01	-0.01	0.02
-0.06	-0.01	-0.01
0.01	0	0
-0.05	-0.01	0
0	-0.01	0.06
-0.03	-0.02	-0.02
0.08	-0.04	-0.06
-0.03	0.01	-0.06
-0.09	-0.02	-0.02
-0.08	0	-0.02
0.03	0	0.01
0.01	-0.04	-0.02
-0.01	0	-0.03
0.02	0.01	0.03
0.05	-0.02	-0.04
-0.09	0.01	0.02
0.02	0	0.03
0.04	-0.04	-0.04
-0.13	-0.07	-0.01
0.06	0.04	0.04
-0.05	-0.03	-0.01
0	0.01	-0.03
-0.02	-0.02	0.02
-0.01	0.01	-0.02
-0.03	0	0.02
0.06	0.02	-0.01
-0.03	-0.02	0
-0.03	-0.01	0.02
0.01	-0.01	-0.01
0	0	0
0.02	-0.01	0.01
0.01	0	-0.01
0	-0.02	0.01
-0.01	0	-0.01
0	-0.01	0.02
-0.03	-0.01	0
0.01	0	0
0.01	0	0.01
-0.02	-0.02	0
0.01	0	-0.01
0	-0.01	0
0	0	-0.01
-0.04	-0.03	0.01
-0.01	-0.01	0
0.01	-0.01	0
-0.01	-0.01	-0.01
0.01	0	0.01
-0.01	-0.01	0.01
0.01	0.01	0
-0.02	-0.02	0.01
0	0.01	-0.02
-0.01	-0.02	0.02
0.02	0.01	-0.01
-0.01	-0.02	0.01
-0.01	0.01	0
-0.02	-0.01	0
-0.01	-0.01	-0.01
0	-0.01	0.02
-0.01	0	-0.01
0	-0.02	0.02
-0.01	0.01	-0.01
0	-0.02	-0.01
0	0.01	0.02
-0.03	-0.01	0
0.02	0.01	0
0	-0.02	0.01
-0.03	-0.03	-0.02
-0.02	-0.06	0
0.12	0.04	0.01
-0.08	-0.06	-0.01
-0.04	0.02	0
-0.05	-0.03	0.01
-0.01	0.03	0
0.01	-0.04	0.02
0.02	0.01	-0.02
-0.01	-0.04	0.01
-0.04	0.02	-0.03
-0.04	0.01	0.03
-0.01	-0.03	-0.02
0.01	-0.01	0.01
-0.07	-0.01	0.01
0.05	0.01	0.01
-0.04	-0.03	0.02
-0.01	0	-0.01
-0.03	-0.06	0
-0.02	0.01	0.02
0.01	-0.03	0.02
0.03	-0.02	0
0.01	0.02	0
0.06	-0.02	-0.01
0.02	0.02	-0.03
-0.02	0	0.02
-0.04	0	-0.02
-0.01	-0.03	-0.02
0.08	-0.04	0.03
-0.09	-0.02	-0.05
-0.03	-0.05	-0.06
0.08	0.08	0.01
-0.07	0	0.01
-0.01	0	0.03
-0.22	-0.06	-0.06
0.79	0.01	0.09
-0.08	0	-0.05
0.11	0.03	0.01
0.24	0.06	0.05
-0.16	0.03	0.03
0.26	0	0.04
0.19	-0.03	0.05
-0.64	0.18	0.03
0.27	0.18	-0.03
-0.07	-0.08	0.04
0.03	0.04	-0.03
-0.02	-0.03	0.01
0.02	0.02	0
-0.01	-0.03	0.01
0	0.01	-0.01
