Linear Accel. [X]	Linear Accel. [Y]	Linear Accel. [Z]
-0.09	-0.02	0.22
-0.02	0.04	-0.21
-0.02	-0.2	0.29
-0.06	0.16	-0.08
-0.09	-0.09	0.19
-0.12	-0.14	-0.07
-0.01	0.09	0.21
-0.04	-0.34	0.2
-0.05	0.29	-0.31
-0.05	-0.5	0.25
-0.03	0.28	0.03
-0.11	-0.41	0.17
-0.07	0.32	0.05
-0.04	-0.2	0.02
-0.05	-0.04	0.17
-0.1	0.04	-0.2
-0.09	-0.2	0.29
-0.03	0.16	0.03
-0.04	-0.07	0.06
-0.06	-0.18	-0.06
-0.1	1.29	0.14
-0.07	0.25	-0.12
0.03	-0.15	0.07
-0.14	0.15	0.04
-0.02	-0.44	0.43
0.02	0.35	-0.08
-0.07	-0.08	-0.04
-0.14	0.9	0.63
-0.05	0.26	0.22
-0.06	-0.09	0.28
0.09	-0.33	0.01
-0.05	0.01	0.13
-0.03	-0.24	-0.19
-0.1	0.17	0.43
-0.09	-0.28	0.05
-0.05	0.24	0.45
-0.04	0.03	-0.25
-0.08	-0.28	-0.01
-0.08	0.56	0.88
0.03	-0.25	-0.21
-0.05	-0.01	0
-0.02	0.08	0.77
0	0.27	-0.44
-0.07	-0.25	0.24
-0.1	0.02	-0.32
-0.04	-0.32	0.23
-0.08	0.13	-0.36
-0.08	0.31	0.81
-0.04	-0.05	-0.39
-0.05	0.13	0.3
0.02	-0.46	-0.26
-0.02	-0.29	-0.46
-0.01	0.26	0.4
-0.02	-0.42	-0.04
-0.02	0.41	0.06
-0.01	-0.33	-0.39
-0.02	0.55	0.64
-0.06	-0.33	-0.3
-0.05	0.27	0.42
-0.04	-0.44	-0.3
-0.09	0.32	0.41
-0.04	-0.29	-0.26
-0.01	0.41	0.03
-0.04	-0.37	0
-0.1	-0.03	0.37
-0.07	-0.05	-0.07
-0.08	0.09	-0.05
-0.01	-0.35	-0.01
-0.02	0.37	0.01
-0.03	-0.2	0.02
-0.05	0.03	0.27
-0.06	0.14	-0.17
-0.05	-0.13	0.3
-0.1	0.19	-0.09
0	-0.2	-0.34
0.01	0.61	-0.19
-0.03	-0.29	0.51
-0.06	0	-0.52
-0.11	-0.01	0.92
-0.07	-0.3	-0.24
-0.04	0.05	-0.62
-0.07	-0.24	0.27
0.01	0.17	0.42
-0.07	-0.19	0
-0.03	0.2	0.47
-0.08	0.1	-0.39
-0.03	0.24	0.36
-0.01	-0.15	-0.06
0	0.18	0.07
-0.08	-0.43	-0.18
-0.03	0.15	0.46
-0.1	-0.35	-0.29
-0.03	0.25	0.25
-0.1	-0.01	-0.08
-0.05	0.1	0.26
-0.03	-0.08	0.04
-0.08	0.06	0.01
-0.07	0.1	0.07
-0.12	0.16	0
-0.04	0.13	-0.06
-0.05	-0.08	0
0	-0.03	0.45
-0.05	0.19	-0.24
0	-0.22	0.4
-0.08	0.13	-0.26
-0.07	-0.15	0.19
-0.14	-0.09	-0.05
-0.06	0.04	-0.11
-0.05	0.07	0.34
0.06	-0.08	-0.03
-0.18	-0.16	0.38
-0.06	0.19	-0.17
-0.07	0.01	0.31
-0.02	-0.08	-0.26
-0.05	0.02	0.08
0	0.13	-0.32
-0.07	-0.16	0.22
0	0.04	-0.03
-0.02	0.03	0.03
-0.09	-0.24	0.15
0	0.05	-0.09
-0.03	-0.29	0.47
-0.1	0.12	-0.31
-0.1	0.1	0.24
-0.02	0.04	-0.22
-0.04	-0.04	0.02
-0.07	0.12	-0.22
0.05	-0.18	0.38
0.02	0.54	-0.71
-0.05	-0.5	-0.36
0.15	0.54	0.78
-0.06	-0.2	-0.48
-0.04	-0.1	-0.1
-0.02	0.14	0.21
-0.04	-0.68	0.07
-0.09	0.18	0.12
-0.05	0.09	0.2
-0.01	-0.17	-0.22
-0.03	0.22	0.03
-0.05	-0.08	0.58
-0.07	0.08	-0.28
-0.08	-0.35	-0.13
-0.08	0.23	0.2
-0.21	-0.27	-0.24
-0.03	-0.03	-0.05
-0.05	0.06	0.49
-0.12	0.02	0
-0.02	0.12	-0.02
-0.06	0.02	0.24
-0.02	0.06	0.23
-0.07	-0.13	0.06
0	-0.06	-0.14
-0.07	0	0.29
-0.02	-0.1	-0.04
-0.07	0.19	0.15
-0.07	0.15	0
-0.08	0.1	0
-0.14	0.18	0.24
0	-0.22	-0.04
0	-0.27	-0.03
-0.03	-0.02	0.04
-0.12	0.02	-0.01
-0.04	0.01	0.26
-0.13	-0.4	0.2
-0.07	0.27	0.28
0	0.21	-0.06
-0.11	0.09	-0.02
-0.03	-0.25	0.13
-0.03	-0.13	0.04
-0.05	-0.11	-0.16
-0.02	0.01	-0.22
-0.04	-0.07	0.22
-0.01	0.05	-0.13
-0.06	0.03	-0.04
-0.03	-0.08	0.26
-0.04	0.16	0.01
-0.06	-0.08	-0.04
-0.12	0.25	0.2
-0.09	-0.19	0.09
-0.05	0.17	-0.06
-0.07	-0.05	0.21
-0.07	-0.15	0.16
-0.06	-0.01	0.06
-0.08	0.01	0.15
-0.04	0	0.05
-0.12	0	0.14
-0.04	-0.07	0.18
-0.02	0.03	-0.07
-0.07	0.08	0.27
-0.08	-0.37	-0.15
-0.05	0	0.25
-0.05	-0.29	0.06
0.05	0.35	-0.03
-0.06	-0.5	0.05
-0.1	0.11	0.08
-0.01	-0.13	0.25
0.04	0.63	-0.16
-0.1	0.38	0.25
-0.04	0.54	0.1
-0.12	-0.39	0.11
-0.13	0.2	0.21
-0.06	0.57	0.09
