Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
9963,9.57,1.48,1.77,-0.06,0.11,0.45,0.05,0.05,0.02,0.75,78.44,-45.06,-14.88,23.56,13.25
10502,9.57,1.36,1.3,-0.06,0.09,-0.25,-0.06,-0.06,-0.03,0.88,78.31,-40.44,-15.19,23.56,13.19
11040,9.56,1.15,1.65,-0.05,-0.2,0.33,0.12,0.03,0.02,1,78.87,-45.5,-15.38,23.69,13.56
11579,9.53,1.45,1.43,-0.01,0.11,0.01,0.02,0,0,1.06,78.75,-43.94,-15.38,22.87,12.56
12125,9.57,1.39,1.57,-0.04,0.08,0.17,0.04,-0.01,-0.02,0.94,78.69,-43.06,-15.38,23.19,12.75
12667,9.61,1.31,1.19,0,-0.05,-0.09,0.03,0,0.02,1.94,78.87,-46.69,-14.38,23.19,12.75
13206,9.45,1.47,1.6,-0.16,0.13,0.24,-0.03,-0.01,-0.01,0.81,78.75,-44.44,-15.06,23.19,13.88
13747,9.52,0.92,1.43,-0.09,-0.38,0.05,-0.04,-0.01,0.01,0.5,78.75,-43.38,-14.06,23.56,12.75
14287,9.6,1.93,1.15,-0.01,0.53,-0.16,0.04,-0.01,-0.01,2.13,78.69,-46.69,-14.06,22.87,12.69
14834,9.57,0.84,1.7,-0.04,-0.32,0.25,0.07,0,-0.02,359.19,79,-39,-14.38,24.5,13.19
15373,9.59,1.76,1.46,0,0.31,0.04,0.06,-0.02,0.03,1.19,78.06,-45.56,-15.06,22.56,12.38
15913,9.53,0.76,1.62,-0.08,-0.47,0.19,-0.04,0.01,-0.01,359.5,78.81,-40.81,-14.75,23.19,12.19
16452,9.57,1.71,1.51,-0.01,0.27,0.04,0.01,-0.01,0.02,0.75,77.87,-44.31,-14.75,23.19,12.06
16992,9.57,1.05,1.39,-0.03,-0.22,-0.04,0,0,-0.02,359.81,78.62,-41.5,-15.88,22.75,12.38
17532,9.55,1.27,1.54,-0.04,-0.11,0.12,-0.01,0.01,0.03,0.5,78.31,-44.31,-15.56,23,12.5
18078,9.65,1.34,1.27,0.04,0.04,-0.17,0.04,-0.01,-0.03,0.12,78.5,-41.94,-15,22.5,12.75
18616,9.59,1.16,1.66,-0.01,-0.18,0.19,-0.03,0,0,359.69,78.37,-41.81,-15.25,22.87,12.19
19156,9.55,1.4,1.43,-0.05,0.07,-0.03,0.01,-0.01,0.01,359.94,78.31,-42.13,-15,22.5,11.69
19700,9.53,1.42,1.72,-0.06,0.12,0.24,-0.01,-0.01,-0.03,359.69,78.37,-41.13,-15.25,23.19,13.06
20240,9.57,1.23,1.41,-0.03,-0.11,0,-0.01,0.01,0.04,0.25,78.5,-43.56,-13.88,22.5,13.5
20788,9.63,2.04,1.55,0.02,0.78,0.08,-0.01,-0.02,0.03,359.56,78.56,-40.56,-15.38,22.75,13.19
21330,9.59,1.36,1.18,-0.03,0.15,-0.23,-0.09,-0.02,0.02,359.44,79,-40.31,-15.06,23.06,13.5
21873,9.56,1.2,1.49,-0.06,-0.01,0.07,0.02,-0.01,-0.02,359.19,79,-40.75,-15.38,22.37,11.5
22415,9.6,0.83,1.32,-0.03,-0.38,-0.01,0,-0.03,0.01,359.31,79.31,-42.31,-15.88,23.06,12.5
22955,9.59,1.1,1.85,-0.02,-0.17,0.45,-0.1,-0.02,-0.02,0.69,78.81,-42.38,-15.75,23.06,12.75
23496,9.53,1.27,1.12,-0.08,-0.01,-0.29,0.05,0.01,0,0.63,78.69,-42.38,-15.75,22.25,12.75
24042,9.52,1.76,1.77,-0.08,0.42,0.33,-0.01,0.03,-0.03,359.88,78.44,-42.94,-16.5,22.56,12.5
24583,9.46,1.58,1.74,-0.14,0.24,0.31,-0.09,-0.03,0.03,359.81,78.44,-43,-15.38,22.56,12.5
25123,9.4,1.29,1.44,-0.09,-0.27,-0.04,-0.1,-0.02,-0.01,359.75,78.62,-44.81,-16.06,23.19,12.69
25666,9.63,1.12,1.66,0.01,-0.24,0.28,-0.09,-0.01,-0.01,0.31,78.5,-44.69,-15.75,21.69,13.06
26205,9.46,1.05,1.31,-0.15,-0.17,0.14,0.05,0.01,0,1,78.75,-45,-15.38,22.19,12.75
26752,9.57,1.23,1.59,-0.02,0.1,0.23,-0.07,0.02,-0.02,0.63,78.44,-44.25,-15.25,22.06,11.5
27293,9.6,1.09,1.19,0,-0.26,-0.22,-0.03,-0.03,0.04,0.69,78.37,-43.88,-14.38,21.69,12.69
27832,9.52,1.67,1.77,-0.08,0.37,0.36,0.03,0,-0.04,0.31,78.69,-42.63,-15.75,22.37,12.69
28372,9.56,0.9,1.4,-0.04,-0.41,-0.01,0.04,-0.02,0.05,0.31,78.62,-42.81,-14.69,21.37,12.38
28912,9.53,1.6,1.95,-0.06,0.25,0.48,-0.01,-0.02,-0.02,0.44,78.25,-42.44,-14.56,21.56,12.56
29451,9.66,1.35,1.06,0.04,0,-0.27,-0.12,-0.06,-0.02,2.44,78.81,-45.38,-15.38,22.06,13.88
29998,9.57,0.89,1.2,-0.06,-0.39,-0.02,-0.02,0.05,0.04,1.25,79.5,-46.25,-15.88,21.19,13.25
30537,9.47,1.82,2.47,-0.07,0.45,0.85,0.01,-0.02,-0.04,0.12,77.69,-41.94,-15.06,21.56,11.69
31078,9.54,1.36,1.25,-0.06,-0.06,-0.05,0.07,-0.05,0.03,2.31,78.56,-47.63,-15.19,20.19,13
31616,9.64,1.15,1.03,-0.03,-0.06,0.05,0.04,0.04,-0.02,1.63,80.81,-51.31,-16,21.06,13.69
32154,9.7,1.4,2.04,-0.13,0.13,0.86,0.03,0.03,-0.01,0.88,79.37,-47.38,-15,20.69,11.75
32701,9.59,1.71,0.95,-0.02,0.31,-0.27,0.06,0,0.02,2.56,79,-48.69,-15.5,21.19,12.56
33241,9.54,1.04,1.39,-0.08,-0.23,0.12,0.06,0.01,-0.01,0.69,79.31,-45.13,-15.19,21.25,11.75
33779,9.63,1.43,0.98,0.06,0.03,-0.33,0.01,-0.04,0.02,2.56,78.62,-46.81,-14.75,21.19,12.56
34317,9.63,0.93,1.12,-0.01,-0.33,-0.03,0.04,-0.04,0.02,1.31,79.87,-47.69,-15.38,21.69,12.88
34856,9.63,1.58,0.73,-0.02,0.24,-0.34,0.03,0.03,0.01,1.88,79.81,-50.94,-14.88,21.37,12.19
